tempo,porta_origem,porta_destino,cwnd,srtt,retrans,ssthresh,packets_out,ca_name,ca_state
2026-07-13 02:32:09.042447,47574,5202,99,27,25,73.0,1,cubic,0
2026-07-13 02:32:09.042447,46296,5202,10,200407,0,,2,cubic,0
2026-07-13 02:32:10.082470,46150,5202,99,1007649,0,,1,cubic,0
2026-07-13 02:32:10.082470,47702,5202,7,101,14170,7.0,1,cubic,0
2026-07-13 02:32:10.082470,46300,5202,133,200202,0,,1,cubic,0
2026-07-13 02:32:10.082470,47560,5202,133,205685,0,,1,cubic,0
2026-07-13 02:32:10.082470,45766,5202,66,27,68,48.0,1,cubic,0
2026-07-13 02:32:10.082470,47804,5202,10,101,0,,2,cubic,0
2026-07-13 02:32:10.082470,47182,5202,10,51,0,,2,cubic,0
2026-07-13 02:32:10.082470,45106,5202,212,31,12,,7,reno,0
2026-07-13 02:32:10.082470,46270,5202,98,400086,0,,1,cubic,0
2026-07-13 02:32:10.082470,44646,5202,69,38,26,51.0,1,cubic,0
2026-07-13 02:32:10.082470,45118,5202,10,58,0,,2,cubic,0
2026-07-13 02:32:10.082470,47556,5202,10,200530,0,,2,cubic,0
2026-07-13 02:32:10.082470,47814,5202,66,36,21,49.0,1,cubic,0
2026-07-13 02:32:10.082470,45542,5202,10,433,0,,2,cubic,0
2026-07-13 02:32:10.082470,47562,5202,10,51,0,,2,cubic,0
2026-07-13 02:32:10.082470,44634,5202,10,123,0,,2,cubic,0
2026-07-13 02:32:10.082470,45750,5202,10,44,0,,2,cubic,0
2026-07-13 02:32:10.082470,47198,5202,55,69,50,52.0,1,cubic,0
2026-07-13 02:32:10.082470,48256,5202,10,51,0,,2,cubic,0
2026-07-13 02:32:10.082470,45128,5202,2,31,14899,4.0,4,cubic,3
2026-07-13 02:32:10.082470,46260,5202,10,400419,0,,2,cubic,0
2026-07-13 02:32:10.082470,47696,5202,10,625,1,,2,cubic,0
2026-07-13 02:32:10.082470,45092,5202,10,69,0,,0,reno,0
2026-07-13 02:32:10.082470,46144,5202,10,1000272,0,,2,cubic,0
2026-07-13 02:32:10.082470,45556,5202,86,44,21,64.0,1,cubic,0
2026-07-13 02:32:10.082470,48258,5202,92,47,16,69.0,1,cubic,0
2026-07-13 02:32:10.082470,47574,5202,99,27,25,73.0,1,cubic,0
2026-07-13 02:32:10.082470,46296,5202,10,200407,0,,2,cubic,0
2026-07-13 02:32:11.118335,46150,5202,99,1007649,0,,1,cubic,0
2026-07-13 02:32:11.118335,47702,5202,7,101,14170,7.0,1,cubic,0
2026-07-13 02:32:11.118335,46300,5202,133,200202,0,,1,cubic,0
2026-07-13 02:32:11.118335,47560,5202,133,205685,0,,1,cubic,0
2026-07-13 02:32:11.118335,45766,5202,66,27,68,48.0,1,cubic,0
2026-07-13 02:32:11.118335,47804,5202,10,101,0,,2,cubic,0
2026-07-13 02:32:11.118335,47182,5202,10,51,0,,2,cubic,0
2026-07-13 02:32:11.118335,45106,5202,212,49,12,,5,reno,0
2026-07-13 02:32:11.118335,46270,5202,98,400086,0,,1,cubic,0
2026-07-13 02:32:11.118335,44646,5202,69,38,26,51.0,1,cubic,0
2026-07-13 02:32:11.118335,45118,5202,10,58,0,,2,cubic,0
2026-07-13 02:32:11.118335,47556,5202,10,200530,0,,2,cubic,0
2026-07-13 02:32:11.118335,47814,5202,66,36,21,49.0,1,cubic,0
2026-07-13 02:32:11.118335,45542,5202,10,433,0,,2,cubic,0
2026-07-13 02:32:11.118335,47562,5202,10,51,0,,2,cubic,0
2026-07-13 02:32:11.118335,44634,5202,10,123,0,,2,cubic,0
2026-07-13 02:32:11.118335,45750,5202,10,44,0,,2,cubic,0
2026-07-13 02:32:11.118335,47198,5202,55,69,50,52.0,1,cubic,0
2026-07-13 02:32:11.118335,48256,5202,10,51,0,,2,cubic,0
2026-07-13 02:32:11.118335,45128,5202,2,31,14899,4.0,4,cubic,3
2026-07-13 02:32:11.118335,46260,5202,10,400419,0,,2,cubic,0
2026-07-13 02:32:11.118335,47696,5202,10,625,1,,2,cubic,0
2026-07-13 02:32:11.118335,45092,5202,10,69,0,,0,reno,0
2026-07-13 02:32:11.118335,46144,5202,10,1000272,0,,2,cubic,0
2026-07-13 02:32:11.118335,45556,5202,86,44,21,64.0,1,cubic,0
2026-07-13 02:32:11.118335,48258,5202,92,47,16,69.0,1,cubic,0
2026-07-13 02:32:11.118335,47574,5202,99,27,25,73.0,1,cubic,0
2026-07-13 02:32:11.118335,46296,5202,10,200407,0,,2,cubic,0
2026-07-13 02:32:12.150672,46150,5202,99,1007649,0,,1,cubic,0
2026-07-13 02:32:12.150672,47702,5202,7,101,14170,7.0,1,cubic,0
2026-07-13 02:32:12.150672,46300,5202,133,200202,0,,1,cubic,0
2026-07-13 02:32:12.150672,47560,5202,133,205685,0,,1,cubic,0
2026-07-13 02:32:12.150672,45766,5202,66,27,68,48.0,1,cubic,0
2026-07-13 02:32:12.150672,47804,5202,10,101,0,,2,cubic,0
2026-07-13 02:32:12.150672,47182,5202,10,51,0,,2,cubic,0
2026-07-13 02:32:12.150672,45106,5202,212,29,12,,5,reno,0
2026-07-13 02:32:12.150672,46270,5202,98,400086,0,,1,cubic,0
2026-07-13 02:32:12.150672,44646,5202,69,38,26,51.0,1,cubic,0
2026-07-13 02:32:12.150672,45118,5202,10,58,0,,2,cubic,0
2026-07-13 02:32:12.150672,47556,5202,10,200530,0,,2,cubic,0
2026-07-13 02:32:12.150672,47814,5202,66,36,21,49.0,1,cubic,0
2026-07-13 02:32:12.150672,45542,5202,10,433,0,,2,cubic,0
2026-07-13 02:32:12.150672,47562,5202,10,51,0,,2,cubic,0
2026-07-13 02:32:12.150672,44634,5202,10,123,0,,2,cubic,0
2026-07-13 02:32:12.150672,45750,5202,10,44,0,,2,cubic,0
2026-07-13 02:32:12.150672,47198,5202,55,69,50,52.0,1,cubic,0
2026-07-13 02:32:12.150672,48256,5202,10,51,0,,2,cubic,0
2026-07-13 02:32:12.150672,45128,5202,2,31,14899,4.0,4,cubic,3
2026-07-13 02:32:12.150672,46260,5202,10,400419,0,,2,cubic,0
2026-07-13 02:32:12.150672,47696,5202,10,625,1,,2,cubic,0
2026-07-13 02:32:12.150672,45092,5202,10,69,0,,0,reno,0
2026-07-13 02:32:12.150672,46144,5202,10,1000272,0,,2,cubic,0
2026-07-13 02:32:12.150672,45556,5202,86,44,21,64.0,1,cubic,0
2026-07-13 02:32:12.150672,48258,5202,92,47,16,69.0,1,cubic,0
2026-07-13 02:32:12.150672,47574,5202,99,27,25,73.0,1,cubic,0
